nome,prob_fem
creusa,0.9975846382995853
jucelia,0.9970904388588054
claudiane,0.9922727089789511
geisa,0.9965969859017987
valdelice,0.9871949261400128
lilia,0.9965098819041435
crislaine,0.9963425041654813
ednalva,0.9969789753010818
marly,0.9935957576993677
rosenilda,0.9966448445171849
cleia,0.9975379565038982
anne,0.9971252566735113
edinalva,0.9960136440225209
berenice,0.9957531027089432
ivana,0.9972327771353048
kauane,0.9803873797052016
edineia,0.9968874501992032
vanuza,0.998000583163244
ludmila,0.9967373572593801
kamila,0.9962234064873484
lindinalva,0.9977186311787072
francine,0.9746856386499008
susana,0.9978665301245946
agata,0.9950905054644809
zilma,0.9954238302968095
leni,0.9745755589174652
kailane,0.9941583265323655
alicia,0.9962975718959876
francinete,0.9883073496659243
carol,0.981415966923831
jesica,0.9949352841868317
ariana,0.9960967993754879
isabeli,0.9958763781578261
leonilda,0.9955256298870547
rosimar,0.8328850766882314
zuleide,0.9978628750872296
nilva,0.9967253198270969
rayssa,0.9965446354371692
santa,0.9960581639803784
valdineia,0.9959190837684848
idalina,0.997273526824978
mercia,0.9960818842174775
kesia,0.9958445692056054
edilaine,0.9957056844342128
kenia,0.9961407088674977
julieta,0.9974129086935188
sophia,0.9969673995451099
rubia,0.996375676764061
mercedes,0.9928112503931348
suelem,0.9951333813987022
ivanir,0.7497193018270899
elisabeth,0.9974184782608696
jose,0.003826725002167858
stefany,0.9933682216006496
irma,0.9966325369738339
gabrielle,0.9899228325011348
elisete,0.9963395104095173
hellen,0.9944635094943949
eni,0.9599750122707599
clarisse,0.9966581573450917
claudiana,0.9958947564844187
thaina,0.9864425666264277
lenir,0.9674715261958998
thalita,0.9953442437923251
ivaneide,0.9933809032015773
isabelle,0.9965474839197881
paulina,0.9955494531508925
giseli,0.9958681610942249
darci,0.33071699305116864
jordana,0.9942320526265611
valdeci,0.250601510995621
mayra,0.9964047744595178
marlucia,0.9975003605249243
analia,0.9975833736104398
elis,0.8976055724858512
cilene,0.9975800987319717
joselita,0.9955957796921886
darlene,0.9947964791129699
valdenice,0.983729662077597
marileide,0.9970194468875208
elisandra,0.9960941314324773
santina,0.9970670186244317
leonor,0.925693497044111
katiane,0.996665195429356
dolores,0.993495696400626
antonieta,0.9957342485903408
doraci,0.914616497829233
gleiciane,0.9944911711179971
isis,0.9938001279338681
adrieli,0.9914218102938277
guiomar,0.9312252964426877
aurora,0.9974331873773215
esmeralda,0.996120124962209
nicoli,0.9879933963680024
mariele,0.9955629506378258
emanuela,0.9936068462119305
marcele,0.9899250708788984
edneia,0.9969788519637462
betania,0.9970256410256411
genilda,0.9956923076923077
franciane,0.9950774279561071
gildete,0.9629335188313625
vanesa,0.9959791741842363
magna,0.995652398944154
jackeline,0.9953377538334024
elida,0.9979686442002188
efigenia,0.9963516964611455
lazara,0.9929771627737606
filomena,0.9968134566159954
dulcineia,0.9978028876333961
nelci,0.8604735552934772
dejanira,0.9971069380884751
lindaura,0.99704547852696
candida,0.9967259861646512
lorrane,0.9933673737958625
thamires,0.9955378486055777
nanci,0.9934720305700032
eloa,0.9920335652451007
giulia,0.9966385657880695
lana,0.99698859969886
greice,0.9916259595254711
joaquina,0.9938637097642373
francineide,0.9921336733033147
almerinda,0.9957525593552603
alexsandra,0.9913095758635767
naira,0.9954957429277671
fabia,0.9918904109589041
eli,0.40938272725210406
renilda,0.9967388901171789
edileusa,0.9978387364921031
rosinete,0.9966747949456883
lorraine,0.995208379763762
flaviana,0.9950201432408237
josenilda,0.9928495614770124
nelma,0.9974662162162162
tamiris,0.9952261877699478
andriele,0.9897053000735335
araci,0.9613162383756122
elsa,0.9969149908592322
arlene,0.9934491597835374
roselaine,0.9974201685489882
micaele,0.9892436400887826
lia,0.9938236303328377
dina,0.9950713507937418
geovanna,0.9951283814763869
lucivania,0.9953999194985912
kelli,0.9944643063083842
leiliane,0.9975646526730836
nilsa,0.9969705796679289
edjane,0.9858389688457314
eugenia,0.9954428604814209
suellen,0.9966036189026175
girlene,0.9895080438330613
josineide,0.9916968775581804
alesandra,0.99137526402253
jaiane,0.9939964685108887
leide,0.9919891618071508
mary,0.9964999703387317
ketlin,0.9916454346151568
nilce,0.9941043353978085
arlinda,0.9932159009759581
amara,0.9943374858437146
morgana,0.9967660797700323
elizandra,0.9960471941067257
augusta,0.9943147815679234
